"Titre","Montant","Devise","Taux de change","Montant dans la devise du tricount (CHF)","Type de transaction","Catégorie","Payé par","Payé par Caps","Payé par Emilian","Impacté à Caps","Impacté à Emilian","Date & heure","URL des images"
"Aller Genève Milan","60.00","EUR","0.979223","58.75","Dépense","Vacances 🌴","Emilian","0.00","58.75","-29.37","-29.38","10 août 2024 00:00",""
"Retour Milan Lucerne","48.00","EUR","0.979223","47.00","Dépense","Vacances 🌴","Emilian","0.00","47.00","-23.50","-23.50","16 août 2024 00:00",""
"Vacances en Italie","365.00","EUR","0.979223","357.42","Dépense","Vacances 🌴","Caps","357.42","0.00","-178.71","-178.71","10 août 2024 00:00",""
"Burger Dinner","55.80","CHF","1","55.80","Dépense","Restaurants & Bars","Emilian","0.00","55.80","-27.90","-27.90","14 juillet 2024 00:00",""
"Anniv Mogs","10.00","EUR","0.979223","9.79","Dépense","Cadeau 🎁","Caps","9.79","0.00","-9.79","0.00","29 juin 2024 00:00",""
"Anniv Mogs","10.00","EUR","0.979223","9.79","Dépense","Cadeau 🎁","Emilian","0.00","9.79","0.00","-9.79","21 juin 2024 00:00",""
"Samedi Lausanne Swibeco","45.00","CHF","1","45.00","Dépense","Restaurants & Bars","Emilian","0.00","45.00","-22.50","-22.50","13 juillet 2024 00:00",""
"Glace Swibeco","12.00","CHF","1","12.00","Dépense","Restaurants & Bars","Emilian","0.00","12.00","-6.00","-6.00","13 juillet 2024 00:00",""
"Cine","38.00","CHF","1","38.00","Dépense","Loisirs 🏩","Caps","38.00","0.00","-19.00","-19.00","13 juillet 2024 00:00",""
"AR Annecy","15.00","CHF","1","15.00","Dépense","Transport","Emilian","0.00","15.00","0.00","-15.00","28 juin 2024 00:00",""
"Swibeco","-180.00","CHF","1","-180.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-180.00","90.00","90.00","12 juillet 2024 00:00",""
"Swibeco","-180.00","CHF","1","-180.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-180.00","0.00","180.00","18 avril 2024 00:00",""
"Bière demi-finale","8.00","CHF","1","8.00","Dépense","Restaurants & Bars","Emilian","0.00","8.00","0.00","-8.00","12 juillet 2024 00:00",""
"Claires","15.00","CHF","1","15.00","Dépense","Shopping","Caps","15.00","0.00","-15.00","0.00","21 juin 2024 00:00",""
"Voyage Annecy A/R Caps","30.80","CHF","1","30.80","Dépense","Transport","Caps","30.80","0.00","-30.80","0.00","23 juin 2024 00:00",""
"Salaire stage Caps","-2040.00","CHF","1","-2040.00","Rentrée d'argent","Salaire 💵","Caps","-2040.00","0.00","2040.00","0.00","24 juin 2024 00:00",""
"Paris Lausanne Caps","49.00","EUR","0.97479","47.76","Dépense","Transport","Caps","47.76","0.00","-47.76","0.00","11 juillet 2024 00:00",""
"Genève Paris Caps","59.00","EUR","0.97479","57.51","Dépense","Transport","Caps","57.51","0.00","-57.51","0.00","4 juillet 2024 00:00",""
"Mc Do","15.50","CHF","1","15.50","Dépense","Restaurants & Bars","Caps","15.50","0.00","-15.50","0.00","5 juillet 2024 00:00",""
"Thaï","15.50","EUR","0.97479","15.11","Dépense","Restaurants & Bars","Caps","15.11","0.00","-15.11","0.00","6 juillet 2024 00:00",""
"Resto","20.40","EUR","0.97479","19.89","Dépense","Restaurants & Bars","Caps","19.89","0.00","-19.89","0.00","7 juillet 2024 00:00",""
"Libanais","9.40","EUR","0.97479","9.16","Dépense","Restaurants & Bars","Caps","9.16","0.00","-9.16","0.00","7 juillet 2024 00:00",""
"Converse","71.00","EUR","0.97479","69.21","Dépense","Shopping","Caps","69.21","0.00","-69.21","0.00","8 juillet 2024 00:00",""
"Mercerie broderie","11.80","EUR","0.97479","11.50","Dépense","Shopping","Caps","11.50","0.00","-11.50","0.00","8 juillet 2024 00:00",""
"Sushi Paris","16.90","EUR","0.97479","16.47","Dépense","Restaurants & Bars","Caps","16.47","0.00","-16.47","0.00","8 juillet 2024 00:00",""
"Pizza fan zone","10.00","CHF","1","10.00","Dépense","Restaurants & Bars","Emilian","0.00","10.00","0.00","-10.00","6 juillet 2024 00:00",""
"Bière fan zone Geneve","18.00","CHF","1","18.00","Dépense","Restaurants & Bars","Emilian","0.00","18.00","0.00","-18.00","6 juillet 2024 00:00",""
"Salaire stage","-1967.00","CHF","1","-1967.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-1967.00","0.00","1967.00","13 juin 2024 00:00",""
"Loyer","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Caps","775.00","0.00","-775.00","0.00","4 juillet 2024 00:00",""
"Frais de carte CA","2.00","EUR","0.973106","1.95","Dépense","Frais bancaires 🏦","Emilian","0.00","1.95","0.00","-1.95","5 juin 2024 00:00",""
